Rumah,,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,TURUN HARGA! RUMAH RAJAWALI SAKTI (DEKAT PUSAT KOTA),"Andir, Bandung",6,3,2,161 m²,200 m²
Rumah,,"Rp 8,9 Miliar",Cicilan: 33 Jutaan per bulan,Rumah Besar Rajawali,"Andir, Bandung",5,4,0,447 m²,700 m²
Rumah,,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Tinggal lokasi strategis di pusat kota Bandung ,"Andir, Bandung",4,2,1,120 m²,100 m²
Rumah,,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah di Sayap Rajawali 2 Lantai (HSO),"Andir, Bandung",4,2,4,240 m²,200 m²
Rumah,,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Jual rumah pusat kota ,"Andir, Bandung",5,4,1,170 m²,350 m²
Rumah,,Rp 35 Miliar,Cicilan: 130 Jutaan per bulan,Liat Aja Sendiri Beli Rumah Keren Komplek Biofarma Andir Bandung,"Andir, Bandung",4,3,1,317 m²,200 m²
Rumah,,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah 2 Lantai di Rajawali Sakti Dekat Supermarket,"Andir, Bandung",4,1,0,97 m²,90 m²
Rumah,,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah di Rajawali lokasi strategis siap huni ,"Andir, Bandung",4,1,1,97 m²,90 m²
Rumah,,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,DIJUAL RUMAH ASRI BANGUNAN KOKOH TERAWAT DI ANDIR BANDUNG,"Andir, Bandung",3,1,0,125 m²,115 m²
Rumah,,"Rp 5,8 Miliar",Cicilan: 21 Jutaan per bulan,"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,400 m²,400 m²
Rumah,,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,"Rumah 2 Lantai Murah Tengah Kota Sayap Rajawali, Bandung","Andir, Bandung",4,1,1,97 m²,90 m²
Rumah,,Rp 4 Miliar,Cicilan: 14 Jutaan per bulan,Rumah perkomplekan,"Andir, Bandung",4,3,1,202 m²,300 m²
Rumah,,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Hunian Pusat Kota Bandung Murah Andir Town House,"Andir, Bandung",3,2,2,49 m²,72 m²
Rumah,,"Rp 1,58 Miliar",Cicilan: 5 Jutaan per bulan,Rumah sayap pajajaran Minimalis 2 Lantai Hommy terawat,"Andir, Bandung",4,4,4,178 m²,250 m²
Rumah,,Rp 11 Miliar,Cicilan: 40 Jutaan per bulan,Rumah Besar Tengah Kota Sayap Sudirman,"Andir, Bandung",7,4,0,188 m²,260 m²
Rumah,,"Rp 1,6 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Pusat Kota Dekat Mall Paskal 23,"Andir, Bandung",3,2,1,70 m²,116 m²
Rumah,,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,Dijual rumah lokasi dekat dengan Bandara husen kota bandung,"Andir, Bandung",4,3,1,158 m²,150 m²
